Chaîne,ID interne,Titre,Minutes,Period,Famille Client,AYANT_DROIT,Intitulé Client,Qté Vendues,CA HT Net,Type de document,N° de pièce,Date de Vente,% Minutes,CA HT Net FAST,COST FAST,CA HT CONSO,To exclud,Mois de prestation,CONTENT ID TO SELECT,Base Royalties,Period (index des mois),Period (mois),Nb Titres,AYANT DROIT AIRTABLE,AYANT DROIT DECOMPTE,MG,RECOUPABLE COST,% Royalties,Royalties,Zylo Content DEF,Royalties2,Recoupage,MG2,Statut,Contrat,Ayant Droit Airtable2,Ayant Droit Select,Colonne1,
,ZRSND1002,A Better Life,,1/1/25,AVOD,SND,GOOGLE IRELAND,1,1.81,Facture,FA83806,2/28/25,,,,1.81,No,1.00,ZRSND1002,1.81,1.00,janv,1.00,SND (SOCIETE NOUVELLE DISTRIBUTION),SND,,,0.70,1.27,ZRSND1002,1.27,0,0,ACTIF,SND-DD-P01-A00-20221121,SND (SOCIETE NOUVELLE DISTRIBUTION),SND,TRUE,
,ZRSND1003,A GOOD MAN - DEVIL'S BLADE,,1/1/25,AVOD,SND,GOOGLE IRELAND,1,256.02,Facture,FA83806,2/28/25,,,,256.02,No,1.00,ZRSND1003,256.02,1.00,janv,1.00,SND (SOCIETE NOUVELLE DISTRIBUTION),SND,,,0.70,179.21,ZRSND1003,179.21,0,0,ACTIF,SND-DD-P01-A00-20221121,SND (SOCIETE NOUVELLE DISTRIBUTION),SND,TRUE,
,ZRSND1004,A LOVE SONG FOR BOBBY LONG,,1/1/25,AVOD,SND,GOOGLE IRELAND,1,5.91,Facture,FA83806,2/28/25,,,,5.91,No,1.00,ZRSND1004,5.91,1.00,janv,1.00,SND (SOCIETE NOUVELLE DISTRIBUTION),SND,,,0.70,4.14,ZRSND1004,4.14,0,0,DROITS ECHUS,SND-DD-P01-A00-20221121,SND (SOCIETE NOUVELLE DISTRIBUTION),SND,TRUE,
,ZRSND1007,Baron Rouge,,1/1/25,AVOD,SND,GOOGLE IRELAND,1,49.91,Facture,FA83806,2/28/25,,,,49.91,No,1.00,ZRSND1007,49.91,1.00,janv,1.00,SND (SOCIETE NOUVELLE DISTRIBUTION),SND,,,0.70,34.94,ZRSND1007,34.94,0,0,DROITS ECHUS,SND-DD-P01-A00-20221121,SND (SOCIETE NOUVELLE DISTRIBUTION),SND,TRUE,
,ZRSND1010,COLLEGE ROCK STARS,,1/1/25,AVOD,SND,GOOGLE IRELAND,1,0.78,Facture,FA83806,2/28/25,,,,0.78,No,1.00,ZRSND1010,0.78,1.00,janv,1.00,SND (SOCIETE NOUVELLE DISTRIBUTION),SND,,,0.70,0.55,ZRSND1010,0.55,0,0,ACTIF,SND-DD-P01-A00-20221121,SND (SOCIETE NOUVELLE DISTRIBUTION),SND,TRUE,
,ZRSND1011,Cop Car,,1/1/25,AVOD,SND,GOOGLE IRELAND,1,1.83,Facture,FA83806,2/28/25,,,,1.83,No,1.00,ZRSND1011,1.83,1.00,janv,1.00,SND (SOCIETE NOUVELLE DISTRIBUTION),SND,,,0.70,1.28,ZRSND1011,1.28,0,0,ACTIF,SND-DD-P01-A00-20221121,SND (SOCIETE NOUVELLE DISTRIBUTION),SND,TRUE,
,ZRSND1013,Dancing Girls,,1/1/25,AVOD,SND,GOOGLE IRELAND,1,0.23,Facture,FA83806,2/28/25,,,,0.23,No,1.00,ZRSND1013,0.23,1.00,janv,1.00,SND (SOCIETE NOUVELLE DISTRIBUTION),SND,,,0.70,0.16,ZRSND1013,0.16,0,0,ACTIF,SND-DD-P01-A00-20221121,SND (SOCIETE NOUVELLE DISTRIBUTION),SND,TRUE,
,ZRSND1014,Dans l'oeil du Tigre,,1/1/25,AVOD,SND,GOOGLE IRELAND,1,15.33,Facture,FA83806,2/28/25,,,,15.33,No,1.00,ZRSND1014,15.33,1.00,janv,1.00,SND (SOCIETE NOUVELLE DISTRIBUTION),SND,,,0.70,10.73,ZRSND1014,10.73,0,0,ACTIF,SND-DD-P01-A00-20221121,SND (SOCIETE NOUVELLE DISTRIBUTION),SND,TRUE,
,ZRSND1019,Hunted,,1/1/25,AVOD,SND,GOOGLE IRELAND,1,117.95,Facture,FA83806,2/28/25,,,,117.95,No,1.00,ZRSND1019,117.95,1.00,janv,1.00,SND (SOCIETE NOUVELLE DISTRIBUTION),SND,,,0.70,82.57,ZRSND1019,82.57,0,0,ACTIF,SND-DD-P01-A00-20221121,SND (SOCIETE NOUVELLE DISTRIBUTION),SND,TRUE,
,ZRSND1022,Kids in Love,,1/1/25,AVOD,SND,GOOGLE IRELAND,1,0.1,Facture,FA83806,2/28/25,,,,0.10,No,1.00,ZRSND1022,0.10,1.00,janv,1.00,SND (SOCIETE NOUVELLE DISTRIBUTION),SND,,,0.70,0.07,ZRSND1022,0.07,0,0,ACTIF,SND-DD-P01-A00-20221121,SND (SOCIETE NOUVELLE DISTRIBUTION),SND,TRUE,
,ZRSND1023,Killshot,,1/1/25,AVOD,SND,GOOGLE IRELAND,1,6.81,Facture,FA83806,2/28/25,,,,6.81,No,1.00,ZRSND1023,6.81,1.00,janv,1.00,SND (SOCIETE NOUVELLE DISTRIBUTION),SND,,,0.70,4.77,ZRSND1023,4.77,0,0,ACTIF,SND-DD-P01-A00-20221121,SND (SOCIETE NOUVELLE DISTRIBUTION),SND,TRUE,
,ZRSND1026,Le complexe du castor,,1/1/25,AVOD,SND,GOOGLE IRELAND,1,0.14,Facture,FA83806,2/28/25,,,,0.14,No,1.00,ZRSND1026,0.14,1.00,janv,1.00,SND (SOCIETE NOUVELLE DISTRIBUTION),SND,,,0.70,0.10,ZRSND1026,0.10,0,0,ACTIF,SND-DD-P01-A00-20221121,SND (SOCIETE NOUVELLE DISTRIBUTION),SND,TRUE,
